"","title","timestamp","ts"
"1","Out-smarting the ad fraudsters","Posted on March 31, 2016",2016-03-31
"2","The smart future of marketing","Posted on March 24, 2016",2016-03-24
"3","My quantified self","Posted on March 17, 2016",2016-03-17
"4","Building better construction through data science","Posted on March 10, 2016",2016-03-10
"5","Does data science exist?","Posted on March 3, 2016",2016-03-03
"6","Intelligent infrastructure in a smart city","Posted on February 25, 2016",2016-02-25
"7","Wearables for Charities and NGOs","Posted on February 18, 2016",2016-02-18
"8","Wearables taking flight","Posted on February 11, 2016",2016-02-11
"9","Swapping Safe Harbour for a Shield","Posted on February 4, 2016",2016-02-04
"10","Smart local authorities – Data, Austerity, Resources and Devolution","Posted on January 28, 2016",2016-01-28
"11","It pays to be different in Data Science","Posted on January 21, 2016",2016-01-21
"12","How data will shape finance in 2016","Posted on January 14, 2016",2016-01-14
"13","Lighting up with the IoT","Posted on January 7, 2016",2016-01-07
"14","How much is a Christmas advert worth?","Posted on December 31, 2015",2015-12-31
"15","Santa is a data scientist","Posted on December 24, 2015",2015-12-24
"16","Bayesian statistics and … the sunrise!","Posted on December 17, 2015",2015-12-17
"17","Data science can prove PR’s worth","Posted on December 10, 2015",2015-12-10
"18","Smarter testing in email marketing","Posted on December 3, 2015",2015-12-03
"19","Healthy use of data in occupational health","Posted on November 26, 2015",2015-11-26
"20","Uncovering your customers’ true desires","Posted on November 20, 2015",2015-11-20
"21","Life without internet","Posted on November 18, 2015",2015-11-18
"22","A statistics walk-through","Posted on November 12, 2015",2015-11-12
"23","Data science can make banking more personal","Posted on November 5, 2015",2015-11-05
"24","Thor, wearables and construction","Posted on October 29, 2015",2015-10-29
"25","Smart city thinking today","Posted on October 22, 2015",2015-10-22
"26","What can you actually do with wearable data?","Posted on October 15, 2015",2015-10-15
"27","Keeping your data personal in the ‘smart’ era","Posted on October 8, 2015",2015-10-08
"28","Seeing the forest and the trees","Posted on October 1, 2015",2015-10-01
"29","What data science means to me","Posted on September 24, 2015",2015-09-24
"30","KTPs to plug the skills gap","Posted on September 17, 2015",2015-09-17
"31","Embracing data science in Dubai","Posted on September 10, 2015",2015-09-10
"32","Wearables herald a brave new world for marketers","Posted on September 3, 2015",2015-09-03
"33","An emotional response to a technical device – my wearables experience!","Posted on August 27, 2015",2015-08-27
"34","Making data science work for you","Posted on August 20, 2015",2015-08-20
"35","Smart Cities mean smarter marketing","Posted on August 13, 2015",2015-08-13
"36","Does the nothing box exist?","Posted on August 6, 2015",2015-08-06
"37","What I think about data protection – a respectful rebuttal to Hasan Akyol","Posted on July 10, 2015",2015-07-10
"38","Wearable wobbles","Posted on June 30, 2015",2015-06-30
"39","Should individuals be solely responsible for protecting their privacy and security online?","Posted on June 18, 2015",2015-06-18
"40","What’s in store for wearables data and marketing?","Posted on June 7, 2015",2015-06-07
"41","Here comes the data science bit…","Posted on April 23, 2015",2015-04-23
"42","You have to WEAR them","Posted on March 27, 2015",2015-03-27
"43","5 questions everybody should ask about their email marketing campaign","Posted on March 23, 2015",2015-03-23
"44","How big data can improve your commute","Posted on February 27, 2015",2015-02-27
"45","Everything you need to know about clustering and how it can help your business","Posted on January 20, 2015",2015-01-20
"46","Profusion has Landed: a digital débutante in Dubai","Posted on October 27, 2014",2014-10-27
"47","Testing: will you be star baker?","Posted on October 10, 2014",2014-10-10
"48","Make it personal – personalisation in the digital age","Posted on September 10, 2014",2014-09-10
"49","Lily pads:  Markov chains and the customer journey","Posted on September 9, 2014",2014-09-09
"50","The survivor’s guide to digital marketing internships","Posted on September 4, 2014",2014-09-04
"51","Seeing is believing","Posted on August 27, 2014",2014-08-27
"52","The new gmail unsubscribe button – a chance for marketers to prove themselves","Posted on August 26, 2014",2014-08-26
"53","A handy guide to buzzwords in digital marketing – part 1","Posted on August 5, 2014",2014-08-05
"54","Not just a pretty face? Amazon and the art of secret signals","Posted on July 14, 2014",2014-07-14
"55","How we use trees* to predict customer behaviour: random forests in action (*not real ones)","Posted on July 8, 2014",2014-07-08
"56","Don’t fall at the last hurdle – the essential rules of copy","Posted on June 26, 2014",2014-06-26
"57","Are there such things as digital buying signals?","Posted on June 18, 2014",2014-06-18
"58","Pioneering principles still apply in the world of personalisation","Posted on June 16, 2014",2014-06-16
"59","A stock take – where have we been and where are we going?","Posted on June 15, 2014",2014-06-15
